time,open,high,low,close,volume,volCcy
1624497120000,1940.29,1940.61,1937.54,1938.25,18.904504,36666.64609
1624497180000,1938.37,1942.14,1938.1,1940.67,17.777678,34500.715816
1624497240000,1940.25,1942.24,1940.21,1940.42,34.179428,66344.68492
1624497300000,1940.38,1941.13,1937.79,1938.07,18.034588,34977.131325
1624497360000,1938.08,1943.78,1938.08,1943.11,25.736767,49986.077683
1624497420000,1943.61,1945.51,1941.44,1943.18,25.700067,49947.197436
1624497480000,1943.82,1943.82,1938.29,1940.4,43.238839,83887.942715
1624497540000,1940.35,1941.49,1938.07,1940.28,20.518099,39802.202785
1624497600000,1940.08,1940.98,1937.48,1939.87,45.945709,89067.110123
1624497660000,1939.82,1941.72,1938.87,1941.5,24.671685,47875.124553
1624497720000,1941.62,1942.76,1940.99,1941.12,9.926921,19278.098689
1624497780000,1940.73,1940.84,1938,1938.82,33.801896,65559.122469
1624497840000,1938.73,1940.69,1937.59,1937.8,25.457631,49349.14187
1624497900000,1937.79,1937.99,1935.4,1935.77,57.226266,110805.284333
1624497960000,1935.53,1937.97,1933.61,1933.61,26.976654,52220.423979
1624498020000,1934.01,1934.01,1930.03,1932.63,34.321993,66319.417036
1624498080000,1932.75,1933.62,1926.39,1933.47,92.090861,177696.019163
1624498140000,1933.47,1936.16,1930.45,1931.13,36.410126,70368.784667
1624498200000,1931.06,1933.6,1930,1933.04,31.533408,60913.795518
1624498260000,1932.77,1934.99,1932.67,1933.34,15.210728,29417.939236
1624498320000,1933.23,1933.23,1925,1926.89,77.238032,148894.10343
1624498380000,1927.1,1928.9,1925.82,1928.25,35.851502,69101.772539
1624498440000,1927.6,1931.01,1925,1926.43,58.586987,112982.663082
1624498500000,1926.67,1927.76,1923.22,1924.14,65.215913,125537.106864
1624498560000,1924.05,1925.6,1918.7,1919.25,84.099947,161615.031442
1624498620000,1919.24,1921.45,1916.15,1917.87,89.987749,172677.23458
1624498680000,1917.86,1919.94,1914.21,1919.01,93.381178,179006.198065
1624498740000,1919.39,1919.72,1911.02,1911.59,112.053064,214415.973919
1624498800000,1912.35,1914.92,1911.7,1912.91,91.705709,175448.151595
1624498860000,1912.67,1917.95,1912.27,1917.77,101.452859,194249.222457
1624498920000,1918.08,1918.08,1912,1912.49,38.773793,74205.744894
1624498980000,1912.61,1915.36,1912.5,1914.25,48.33941,92515.304262
1624499040000,1913.9,1918.46,1912.92,1914.94,48.619837,93145.690661
1624499100000,1914.7,1918.67,1914.56,1918.18,43.951175,84252.2108
1624499160000,1918.17,1918.5,1915.7,1916.47,18.840722,36118.897906
1624499220000,1915.9,1917.17,1912.11,1912.99,37.682015,72148.835575
1624499280000,1912.9,1915.7,1908.27,1908.5,123.888102,236868.840756
1624499340000,1908.5,1910.6,1905.23,1909.61,140.083742,267248.259545
1624499400000,1909.28,1915.44,1908.41,1914.86,57.541559,110018.25859
1624499460000,1915.01,1918.16,1906.95,1907.65,64.967688,124211.882875
1624499520000,1907.3,1911.68,1903.82,1911.55,75.783369,144571.136203
1624499580000,1911.21,1913.77,1910.07,1910.73,25.149289,48085.185641
1624499640000,1911.09,1912.48,1908.94,1909.95,37.682045,71997.403575
1624499700000,1910.67,1911.76,1908.4,1908.63,61.797132,118033.468276
1624499760000,1908.49,1908.77,1902.68,1906.37,274.746761,523443.384656
1624499820000,1906.31,1909.15,1904,1906.05,214.850442,409373.607198
1624499880000,1906.05,1909.99,1905.02,1906.07,34.295787,65414.978322
1624499940000,1906.55,1908.54,1904.22,1907.55,59.967499,114303.412734
1624500000000,1908,1911.82,1905.09,1910.69,84.626772,161561.177355
1624500060000,1910.54,1915,1910.54,1912.13,92.216446,176471.522727
1624500120000,1911.88,1912.32,1905.18,1907.74,89.229663,170160.352146
1624500180000,1907.63,1907.63,1902.3,1902.3,125.537735,239045.460411
1624500240000,1902.54,1906.38,1902,1906.04,54.876597,104489.684491
1624500300000,1905.87,1909.24,1905.87,1908.34,45.31128,86454.388968
1624500360000,1908.53,1909.24,1903.37,1903.37,21.174906,40355.525321
1624500420000,1903.62,1907.06,1903.46,1905.48,29.06955,55393.004229
1624500480000,1905.42,1907,1903.71,1904.37,30.085976,57311.050456
1624500540000,1903.76,1906.89,1903.76,1905.88,32.141103,61253.280453
1624500600000,1905.88,1905.88,1901.52,1905,95.896542,182424.549861
1624500660000,1905,1906,1903.63,1906,194.194397,370095.61782
1624500720000,1906,1909.2,1904.91,1907.69,115.36926,219974.176986
1624500780000,1907.69,1909.12,1905.14,1905.14,49.505815,94451.018338
1624500840000,1905.02,1908.48,1905,1907.99,33.68108,64222.738097
1624500900000,1907.69,1910.84,1907.69,1910.76,83.849272,160152.413154
1624500960000,1910.4,1910.5,1907.17,1909.32,55.972847,106844.923586
1624501020000,1909.71,1914.23,1909,1914.22,341.19507,652659.853244
1624501080000,1914.1,1916.12,1912.56,1916.02,106.380191,203596.852672
1624501140000,1915.98,1916.69,1913.56,1916.53,43.906706,84072.121354
1624501200000,1916.53,1916.92,1912.8,1912.8,102.795195,196860.176485
1624501260000,1912.81,1912.81,1910.57,1912.8,26.046744,49784.004685
1624501320000,1913.08,1913.08,1908.93,1909.13,30.586093,58423.51992
1624501380000,1909.08,1911.82,1907.55,1907.76,43.579078,83242.30586
1624501440000,1907.75,1907.75,1898.67,1900.64,599.781643,1139748.862346
1624501500000,1900.64,1901.78,1896.5,1899.42,145.733351,276784.380846
1624501560000,1899.42,1899.9,1890.96,1893.64,262.938971,497924.489559
1624501620000,1893.46,1894.33,1890,1890.02,158.977761,300750.021326
1624501680000,1890.01,1893.77,1890,1890.43,84.193964,159281.575024
1624501740000,1890.52,1892.79,1888,1891.47,181.362467,342827.706137
1624501800000,1891.3,1894.99,1891.03,1893.35,72.435258,137167.17566
1624501860000,1893.78,1896.5,1891.18,1891.39,56.273653,106605.802478
1624501920000,1891.02,1892.52,1885,1888.25,120.282211,227063.900279
1624501980000,1888.9,1889.56,1884,1885.95,134.337833,253475.681931
1624502040000,1886.4,1892.17,1885.89,1888.03,71.10662,134287.362315
1624502100000,1888.06,1891.76,1888.06,1890.03,75.405483,142576.94324
1624502160000,1890.03,1890.03,1886.07,1887.38,92.427065,174438.999987
1624502220000,1887.26,1888.98,1887,1888.64,175.932913,332009.328248
1624502280000,1888.64,1890.43,1888.36,1889.34,60.585996,114466.340348
1624502340000,1888.73,1888.73,1887,1887,258.32321,487466.154119
1624502400000,1886.69,1891.5,1885.59,1890.51,68.760317,129918.567349
1624502460000,1890.5,1893,1889.38,1890.98,124.85581,236210.894558
1624502520000,1890.6,1896.47,1890.6,1896.47,86.974907,164738.556876
1624502580000,1896.46,1896.46,1891.3,1892.8,30.748185,58234.015658
1624502640000,1893.1,1893.1,1890.96,1891.05,10.6971,20234.976625
1624502700000,1891.31,1895.23,1890.91,1895.17,31.319282,59271.718404
1624502760000,1895.05,1895.83,1893.01,1894.69,206.10954,390481.686812
1624502820000,1894.27,1896.47,1894.07,1894.31,45.897667,86981.493209
