time,open,high,low,close,volume,volCcy
1623903300000,2437.68,2440.51,2437.68,2439.94,35.391982,86327.623561
1623903360000,2439.69,2439.69,2437.07,2437.77,10.999783,26819.777256
1623903420000,2437.94,2438,2437.55,2437.56,8.393915,20462.5871
1623903480000,2437.55,2437.56,2436,2436.03,28.274212,68905.60997
1623903540000,2436.04,2436.9,2436.04,2436.48,19.374352,47203.002371
1623903600000,2436.48,2438.36,2436.17,2438.36,54.159154,131982.220731
1623903660000,2438.37,2439.49,2437.31,2437.31,29.875865,72865.687976
1623903720000,2436.93,2438.91,2436.45,2438.43,13.996549,34112.327111
1623903780000,2438.43,2438.43,2437.42,2437.43,15.277839,37243.815317
1623903840000,2437.43,2439.6,2436.94,2437.13,42.404721,103392.408568
1623903900000,2436.83,2438.65,2436.83,2438.57,21.569941,52579.268648
1623903960000,2438.56,2438.9,2437.53,2438,84.680467,206468.864306
1623904020000,2437.95,2439.16,2437.95,2439.16,74.610502,181914.438051
1623904080000,2439.19,2439.9,2438.36,2438.45,70.014632,170754.767813
1623904140000,2438.45,2438.61,2434.66,2434.67,101.025715,246286.764652
1623904200000,2434.67,2437.13,2434.67,2436.74,73.590509,179284.736748
1623904260000,2437.13,2437.53,2437.13,2437.5,11.236278,27388.493905
1623904320000,2437.49,2437.5,2436.28,2436.28,4.819153,11744.696095
1623904380000,2436.3,2436.74,2435.31,2435.62,25.361375,61784.353295
1623904440000,2435.62,2438.5,2435.62,2438.04,35.064617,85472.529426
1623904500000,2438.05,2438.99,2437.06,2438.96,74.463037,181534.519689
1623904560000,2438.96,2441.89,2436.29,2436.4,186.75163,455623.042494
1623904620000,2436.15,2436.15,2432.84,2432.84,32.318287,78693.68265
1623904680000,2432.83,2433.31,2431.49,2433.17,19.974078,48581.88613
1623904740000,2433.17,2433.18,2432.01,2432.27,16.203717,39418.979108
1623904800000,2432,2432,2428.3,2428.3,61.981413,150614.443513
1623904860000,2428.78,2429.64,2428,2428.8,60.360071,146590.98962
1623904920000,2428.8,2428.8,2426.6,2427.62,21.967059,53320.554032
1623904980000,2427.77,2427.77,2425.56,2426.34,33.180756,80506.779298
1623905040000,2425.77,2426.74,2422,2422.6,78.171295,189430.387956
